row_id,hts8,api_hts_number,api_rate_source,api_formula_used,status,http_status,api_message,expected_2025_base_duty,api_2026_base_duty,delta,abs_delta,pct_delta,quantity1_code,quantity2_code,mfn_text_rate,begin_effect_date,end_effective_date
b9fdbf3d-2545-4ffd-9213-e3d9e785de4f,38221100,3822.11.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2022-01-26,2050-12-30
7fd92f59-d1ac-4a5e-aebf-5c153a232b36,38221200,3822.12.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2022-01-26,2050-12-30
db1f8baa-7728-48aa-96dc-377821ff269e,38221300,3822.13.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2022-01-26,2050-12-30
981cfa52-6946-4f87-8c8a-a4cfe17c1107,38221900,3822.19.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2022-01-26,2050-12-30
a961ba03-d950-480b-944c-be7bdbe645df,38229000,3822.90.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2022-01-26,2050-12-30
d90ffd6a-84ac-4a3f-a2d0-af250c5469b6,38231100,3823.11.00.00,general,value * 0.038 + weight * 0.021,match,201,,3.82,3.82,0,0,0,KG,,2.1 cents/kg + 3.8%,2020-06-30,2050-12-30
4ecab514-209d-40ad-946d-d49332ac5f7c,38231200,3823.12.00.00,general,value * 0.032 + weight * 0.021,match,201,,3.22,3.22,0,0,0,KG,,2.1 cents/kg + 3.2%,2020-06-30,2050-12-30
80130026-b095-4970-b943-e5d72e54dc63,38231300,3823.13.00,general,value * 0.032,match,201,,3.2,3.2,0,0,0,KG,,3.2%,2020-06-30,2050-12-30
c6bb62a7-9af3-425e-84cd-7be01dcd8f0f,38231920,3823.19.20.00,general,value * 0.023,match,201,,2.3,2.3,0,0,0,KG,,2.3%,2020-06-30,2050-12-30
ed7335f9-ca94-4ba4-bbba-17b95a47a352,38231940,3823.19.40.00,general,value * 0.032,match,201,,3.2,3.2,0,0,0,KG,,3.2%,2020-06-30,2050-12-30
2b8b215c-e5e8-4212-aa6d-8e1944b0b27b,38237020,3823.70.20.00,general,value * 0.051,match,201,,5.1,5.1,0,0,0,KG,,5.1%,2020-06-30,2050-12-30
c5305ca6-0528-45a0-9bc2-7b341a49c9e3,38237040,3823.70.40.00,general,value * 0.02,match,201,,2,2,0,0,0,KG,,2%,2020-06-30,2050-12-30
bdefa6e8-f91a-40e2-ab90-18c5c51462ad,38237060,3823.70.60.00,general,value * 0.024,match,201,,2.4,2.4,0,0,0,KG,,2.4%,2020-06-30,2050-12-30
c382d127-0e00-4234-8a8c-fefd1a7d44cb,38241000,3824.10.00.00,general,value * 0.06,match,201,,6,6,0,0,0,KG,,6%,2020-06-30,2050-12-30
15b066a7-1c5a-4387-ad8c-046c47d5a5c6,38243000,3824.30.00.00,general,value * 0.036000000000000004,match,201,,3.6,3.6,0,0,0,KG,,3.6%,2020-06-30,2050-12-30
434a72b6-5037-42cb-98a8-fc77b310e2aa,38244010,3824.40.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
77420155-cc62-46dc-9832-18660563b4c1,38244020,3824.40.20.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1995-12-31,2050-12-30
2868f5e1-3653-4ba7-a284-ea52fb60d69c,38244050,3824.40.50.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
372ce83b-5326-4cf5-aab3-304abda20fe5,38245000,3824.50.00,general,0,match,201,,0,0,0,0,0,T,,Free,1995-12-31,2050-12-30
dc230f2b-87ee-4510-94b0-2c997e2abdb4,38246000,3824.60.00.00,general,value * 0.049,match,201,,4.9,4.9,0,0,0,KG,,4.9%,2020-06-30,2050-12-30
95e5843e-1c36-44ac-b446-a354bece50dc,38248100,3824.81.00.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
16d421b4-46d7-4fc2-86fa-2ed4922d2153,38248210,3824.82.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
d0bd39d0-5925-48dd-9d32-c4db5761d757,38248290,3824.82.90.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-06-30,2050-12-30
1067a50a-4ac1-41bb-9628-87f6bb4626e1,38248300,3824.83.00.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
471bcfd3-d73b-4024-b66a-99fbd84a4635,38248400,3824.84.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
32be0e7e-7dda-4afa-ae67-ee6e3a9d6a5a,38248500,3824.85.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
967fd79d-8a07-4730-ba6a-565274715e97,38248600,3824.86.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
d15e1a1d-6377-4d6d-8e6a-a5beadf4c30c,38248700,3824.87.00.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-06-30,2050-12-30
7a2225dc-d00c-461c-9087-fb2f1a91def7,38248800,3824.88.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
17b7851e-012f-4159-96f6-483c0a72736a,38248900,3824.89.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2022-01-26,2050-12-30
2079e480-944a-4d21-9435-66a135be40de,38249100,3824.91.00.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
c7ca7571-4507-4305-b85b-cf31e7682edd,38249200,3824.92.00.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2022-01-26,2050-12-30
70cab322-cbf4-46ca-bc1e-c5897c52de21,38249911,3824.99.11.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2016-12-31,2050-12-30
9b017024-ff64-4594-99c1-69b2280802dc,38249919,3824.99.19.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
98f2adcc-0942-40d8-9501-42f7b5f6f007,38249921,3824.99.21.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2016-12-31,2050-12-30
cbfe23f8-f7f1-4b79-8a15-cc42e490d136,38249925,3824.99.25.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
e2a56bee-2136-41a1-879f-71638ddafad4,38249926,3824.99.26.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2016-12-31,2050-12-30
94139221-78be-4c23-8a7f-22c0d26ec018,38249929,3824.99.29.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2022-01-26,2050-12-30
8e795a30-92dd-4072-91ce-05256fad78ce,38249931,3824.99.31.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
9c689e92-0b82-4a83-87ee-ac67fa6ef604,38249932,3824.99.32.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
61781170-e629-4e21-8a78-19f61e5a0816,38249933,3824.99.33.00,general,value * 0.042,match,201,,4.2,4.2,0,0,0,KG,,4.2%,2020-06-30,2050-12-30
e247d145-7772-44c6-9dc8-f13df480e3f6,38249934,3824.99.34.00,general,value * 0.027999999999999997,match,201,,2.8,2.8,0,0,0,KG,CKG,2.8%,2020-06-30,2050-12-30
