"hts_code","custom_description"
"2530908050","Triceratops bone crushed inlay material - Fine"
"2530908050","Velociraptor ""Raptor"" dinosaur bone - Coarse"
"2530.90.8050","Break your own geode, Geode, Geode Quartz, <b>Gift</b> for kids, <b>Gift</b> for her, <b>Gift</b> for him, Easter, Christmas"
"2530.90.80.50","Natural Stone"
"2530.90.80.50","Natural Stone Bead"
"2710.12.9000","Prep 500 ml car detailing <b>products</b> not corrosive"
"2710193020","Engine Oil"
"2710193020","Transmission Fluid"
"2712.20.00.00","Max melt candles"
"2903.21.0000","Celestial Moth with Moon Phases | Moth Sticker | Witchy Decal | Vinyl Decal/ Multiple Colors & Sizes"
"2903.21.0000","Celtic Goddess Morrigan Vinyl Decal | Celtic mythology | Celtic Gods Bumper Sticker | Multiple Sizes and Colors Available"
"2903.21.0000","Celtic Ravens/ Odin's Ravens with Valknut Vinyl Decals for Picture frames/ Bumper Stickers/ Travel Mugs"
"2903.21.0000","Celtic Tree of Life | Yggdrasil | Elder Futhark Runes | Viking Norse Pagan Vinyl Decal Bumper Sticker Laptop Gaming Systems"
"2903.21.0000","Elder Futhark Rune Viking compass Asatru Rune Vegvisir talisman Heathen Vinyl Decal Car Decal"
"2903.21.0000","Masonic compass/ Freemason Quote waterproof vinyl sticker/ decal for phone case, water bottles, hydro flasks, planners, journals, laptops"
"2903.21.0000","NordicViking Elder Futhark Vinyl nail decal,vinyl decal,nail design,nail sticker,multiple sizes"
"2903.21.0000","Raven Bind Rune Permanent Vinyl Decal/ Bumper Sticker"
"2903.21.0000","Raven Decal | Pair of raven decals | Gothic decals | Raven bumper sticker"
"2903.21.0000","Triple Goddess Decal | Boho Celestial Decal | Pagan Wiccan Wall Art Triple Moon sticker, | Triple moon pentagram decal | Witchy Decal"
"2903.21.0000","Triple Moon Symbol | Wiccan Protection | Triple Moon Goddess | Boho Celestial CAR DECAL, Pagan Wiccan New Age Art, Triple Moon Witch Decor"
"2903.21.0000","Wolf Bind Rune Permanent Vinyl Decal/ Bumper Sticker"
"2903.21.0000","Wolves do not concern themselves with the opinion of sheep Vinyl Decal | Car Decal | Viking Quote | Valknut | Wolf Bumper Sticker"
